time (days), algae (10^6 cells/ml), rotifers (animals/ml), egg-ratio, eggs (per ml), dead animals (per ml), external medium (mu mol N / l)
0.00,1.54,11.04,0.02,0.20,0.00,80.00
0.94,1.65,7.02,0.49,3.41,0.80,80.00
2.20,1.51,10.03,0.74,7.42,1.61,80.00
3.15,1.07,20.67,1.01,20.87,1.81,80.00
4.10,0.46,32.31,0.22,7.22,4.21,80.00
4.97,0.36,14.45,0.35,5.02,5.22,80.00
5.94,0.95,14.05,0.67,9.43,2.01,80.00
6.99,1.22,18.06,0.92,16.66,1.61,80.00
7.98,0.69,30.30,0.37,11.24,0.80,80.00
9.01,0.25,13.65,0.18,2.41,2.61,80.00
9.95,0.49,11.44,0.40,4.62,2.81,80.00
11.10,1.11,12.04,0.37,4.41,0.40,80.00
12.01,1.18,14.05,0.56,7.83,0.40,80.00
12.97,0.91,22.68,0.52,11.84,0.60,80.00
13.95,0.34,25.89,0.18,4.62,0.80,80.00
14.98,0.29,12.24,0.48,5.82,1.20,80.00
16.00,0.58,16.86,0.36,6.02,0.00,80.00
17.17,1.37,17.26,0.53,9.23,2.41,80.00
18.07,0.70,30.30,0.34,10.43,5.22,80.00
18.98,0.25,23.48,0.09,2.21,2.81,80.00
20.07,0.58,9.43,0.62,5.82,1.61,80.00
21.00,0.70,11.04,0.67,7.42,3.21,80.00
21.94,0.76,13.24,0.73,9.63,1.20,80.00
22.95,1.00,13.04,0.40,5.22,3.01,80.00
24.17,0.98,14.85,0.59,8.83,2.41,80.00
24.94,0.85,18.06,0.17,3.01,2.81,80.00
25.94,1.13,15.45,0.32,5.02,1.00,80.00
26.98,1.46,10.64,0.58,6.22,2.21,80.00
27.98,1.57,17.86,0.47,8.43,1.61,80.00
28.95,1.49,23.68,0.24,5.62,0.20,80.00
30.09,0.63,34.31,0.28,9.63,3.41,80.00
31.17,0.54,15.65,0.27,4.21,1.61,80.00
32.37,0.70,23.48,0.41,9.63,1.40,80.00
32.98,0.84,29.90,0.65,19.47,3.41,80.00
33.95,0.99,33.91,0.62,21.07,3.01,80.00
34.97,1.91,54.98,0.62,34.11,5.82,80.00
36.00,0.38,53.18,0.16,8.43,4.62,80.00
37.02,0.17,52.58,0.02,1.20,3.81,80.00
38.00,0.15,11.64,0.10,1.20,5.22,80.00
39.03,0.72,9.23,0.22,2.01,2.21,80.00
39.94,0.56,7.83,0.69,5.42,1.61,80.00
40.95,1.28,9.03,0.56,5.02,2.01,80.00
41.94,1.04,14.85,0.68,10.03,1.00,80.00
42.97,1.15,25.69,0.66,17.06,1.00,80.00
44.12,0.54,34.31,0.23,8.03,2.01,80.00
45.08,0.40,26.89,0.25,6.82,1.20,80.00
46.12,0.50,17.66,0.13,2.21,1.00,80.00
47.13,1.11,14.65,1.01,14.85,1.61,80.00
47.97,1.00,17.06,0.81,13.85,1.20,80.00
48.95,0.95,26.49,0.92,24.28,1.61,80.00
49.95,0.27,34.52,0.11,3.81,3.61,80.00
50.97,0.13,23.88,0.33,7.83,3.41,80.00
52.09,0.28,7.83,0.51,4.01,1.00,80.00
53.17,0.69,18.66,0.47,8.83,1.61,80.00
53.97,1.04,20.87,0.60,12.44,1.00,80.00
54.98,0.72,35.72,0.58,20.87,3.61,80.00
55.95,0.19,32.31,0.12,4.01,4.62,80.00
56.94,0.12,17.06,0.11,1.81,2.41,80.00
57.91,0.24,9.43,0.51,4.82,0.80,80.00
59.11,0.32,7.22,0.50,3.61,0.60,80.00
60.07,0.40,10.64,0.98,10.43,0.60,80.00
60.88,0.66,17.66,0.90,15.85,0.80,80.00
61.91,0.48,36.32,0.39,14.05,0.40,80.00
62.91,0.64,25.49,0.39,10.03,0.40,80.00
63.91,0.64,32.31,0.26,8.43,2.41,80.00
64.90,0.57,17.46,0.46,8.03,1.81,80.00
65.90,0.72,21.07,0.56,11.84,1.20,80.00
67.12,0.69,24.68,0.41,10.23,1.40,80.00
67.96,0.83,25.28,0.67,16.86,2.01,80.00
68.93,0.73,28.50,0.49,13.85,2.61,80.00
69.95,0.44,21.87,0.21,4.62,1.81,80.00
70.91,0.81,22.27,0.89,19.87,1.20,80.00
71.90,0.86,22.48,0.82,18.46,1.00,80.00
73.24,0.66,43.75,0.18,8.03,1.00,80.00
73.90,0.55,29.50,0.31,9.03,1.00,80.00
74.94,0.57,23.68,0.58,13.85,2.01,80.00
75.98,0.47,26.69,0.45,12.04,1.00,80.00
76.98,0.40,27.89,0.38,10.64,1.40,80.00
77.90,0.25,27.49,0.23,6.22,0.00,80.00
78.94,0.36,24.88,0.40,9.83,1.61,80.00
79.97,0.38,33.71,0.49,16.66,0.80,80.00
81.00,0.69,22.07,0.65,14.45,0.80,80.00
81.92,0.62,23.28,0.48,11.24,1.40,80.00
82.95,0.37,30.30,0.26,7.83,0.80,80.00
83.92,0.33,30.70,0.44,13.65,2.21,80.00
85.24,0.41,49.16,0.36,17.66,2.81,80.00
85.94,0.57,19.67,0.51,10.03,2.21,80.00
87.18,0.37,21.67,0.32,7.02,2.21,80.00
88.23,0.75,20.47,1.01,20.67,1.81,80.00
88.95,0.77,36.52,0.58,21.07,0.40,80.00
89.98,0.23,35.32,0.11,3.81,0.00,80.00
90.89,0.34,18.46,0.23,4.21,2.21,80.00
91.97,0.35,16.25,0.74,12.04,1.61,80.00
92.93,0.60,16.86,0.67,11.24,1.00,80.00
93.95,0.69,28.50,0.49,14.05,1.40,80.00
95.12,0.27,39.13,0.12,4.82,2.01,80.00
95.92,0.27,28.09,0.24,6.62,1.81,80.00
96.93,0.32,19.47,0.76,14.85,1.00,80.00
97.99,0.54,26.09,0.87,22.68,1.61,80.00
98.91,0.53,32.11,0.50,16.05,0.60,80.00
99.88,0.22,28.09,0.20,5.62,1.40,80.00
101.07,0.43,18.86,0.52,9.83,1.40,80.00
101.96,0.77,25.49,0.62,15.85,0.40,80.00
102.91,0.48,24.88,0.44,10.84,0.80,80.00
103.95,0.37,32.51,0.30,9.83,1.00,80.00
104.86,0.46,27.89,0.47,13.24,1.40,80.00
105.84,0.55,33.51,0.44,14.65,2.61,80.00
106.92,0.54,34.92,0.29,10.03,2.01,80.00
107.99,0.55,29.10,0.47,13.65,1.61,80.00
109.17,0.73,43.75,0.40,17.66,1.40,80.00
109.93,0.46,51.57,0.33,17.26,3.21,80.00
110.96,0.26,41.54,0.05,2.01,4.41,80.00
111.95,0.16,22.48,0.18,4.01,2.61,80.00
113.00,0.34,17.06,0.61,10.43,4.62,80.00
113.93,0.31,13.85,1.41,19.47,2.81,80.00
115.08,0.33,66.02,0.14,9.23,3.21,80.00
116.15,0.20,33.51,0.00,0.00,10.84,80.00
116.94,0.15,12.64,0.08,1.00,1.20,80.00
117.91,0.21,5.82,0.28,1.61,8.03,80.00
